tokenID	talker	consonant	repetition	place	voicing	vowel	closureDur	closureInt	burstInt
146	8	t	6	alveolar	voiceless	i	0.046173441	61.89315201	62.92324647
147	2	k	1	velar	voiceless	i	0.097995325	55.61989574	61.49781995
148	2	p	4	bilabial	voiceless	&	0.087981341	70.64072205	81.24858656
149	4	t	6	alveolar	voiceless	&	0.023181079	70.46386878	59.83778239
150	3	g	3	velar	voiced	a	0.05729224	71.49473086	76.27997804
151	2	d	2	alveolar	voiced	&	0.055027632	71.63418898	77.10373765
152	8	g	4	velar	voiced	&	0.037370406	70.42066716	74.21173385
153	2	g	1	velar	voiced	u	0.090431014	66.41913429	65.59558734
154	6	k	3	velar	voiceless	&	0.052294335	61.98429567	68.36159097
155	5	p	2	bilabial	voiceless	a	0.10235464	62.56145748	74.94155643
156	3	t	3	alveolar	voiceless	a	0.07051324	70.42032261	77.67761078
157	11	t	5	alveolar	voiceless	u	0.063695951	54.8139299	64.38873436
158	12	b	6	bilabial	voiced	u	0.076135507	68.61822986	75.16432166
159	4	k	1	velar	voiceless	u	0.052583885	62.14110352	59.92120645
160	8	b	6	bilabial	voiced	&	0.060106706	70.18641587	77.46661374
161	12	t	6	alveolar	voiceless	i	0.067589582	58.06191042	59.70388691
162	1	g	2	velar	voiced	u	0.102235749	67.30338318	65.17900735
163	2	k	5	velar	voiceless	u	0.100927147	58.17817372	62.97076306
164	11	d	5	alveolar	voiced	&	0.019344039	70.76554256	72.69228919
165	1	b	4	bilabial	voiced	i	0.094919815	70.93223559	75.86188908
166	10	k	5	velar	voiceless	i	0.101006513	61.87838408	56.54500779
167	9	k	3	velar	voiceless	a	0.087331998	65.08017039	63.55312823
168	4	k	4	velar	voiceless	a	0.048853249	53.83818665	56.74925116
169	3	p	1	bilabial	voiceless	a	0.077828916	71.53368927	72.75539856
170	11	g	4	velar	voiced	a	0.059682683	67.36699285	69.25716296
171	9	k	6	velar	voiceless	u	0.047386342	68.67750197	61.22312976
172	12	k	3	velar	voiceless	u	0.069730232	60.24802757	58.0024556
173	1	t	5	alveolar	voiceless	u	0.072149311	65.91228834	71.93381282
174	3	k	5	velar	voiceless	&	0.025535999	64.19215973	58.34794086
175	5	d	5	alveolar	voiced	i	0.048561835	67.8094632	71.55754418
176	5	t	1	alveolar	voiceless	u	0.07385774	62.10502389	60.20479608
177	6	t	1	alveolar	voiceless	i	0.058409724	69.4018232	72.88298083
178	5	k	4	velar	voiceless	&	0.051788335	54.3304118	44.29380336
179	9	t	1	alveolar	voiceless	i	0.044303553	70.68645276	69.21158568
180	3	g	3	velar	voiced	a	0.0321045	70.71457142	77.14915614
181	2	t	4	alveolar	voiceless	i	0.087667694	67.23113005	75.15979798
182	6	p	2	bilabial	voiceless	i	0.075186458	68.73931327	73.47547549
183	8	d	3	alveolar	voiced	i	0.028548069	72.92643239	69.72449754
184	1	p	4	bilabial	voiceless	&	0.127519147	61.25515397	69.68081061
185	9	d	3	alveolar	voiced	&	0.032660574	76.47448026	80.80082331
186	11	k	3	velar	voiceless	u	0.060658394	66.54220348	62.02967992
187	12	d	2	alveolar	voiced	u	0.04265	64.22637772	64.75610312
188	6	k	6	velar	voiceless	u	0.061378343	63.71811265	71.24080339
189	10	d	2	alveolar	voiced	u	0.030436851	68.07505893	70.54688367
190	6	k	2	velar	voiceless	i	0.044972777	52.69347108	54.10324746
191	6	p	1	bilabial	voiceless	a	0.073099009	67.76741717	76.09943667
192	6	b	6	bilabial	voiced	a	0.04925179	74.07245824	80.75227933
193	12	p	6	bilabial	voiceless	a	0.069960833	57.81709208	59.76741335
194	9	t	6	alveolar	voiceless	i	0.047308869	65.38287122	65.5597924
195	10	d	1	alveolar	voiced	a	0.039574345	68.57837723	71.38307136
196	11	g	5	velar	voiced	u	0.067109576	72.76285659	70.48860624
197	5	b	4	bilabial	voiced	a	0.054627397	68.33838812	73.78539952
198	5	b	4	bilabial	voiced	a	0.05545918	70.28472187	76.27351988
199	5	p	1	bilabial	voiceless	u	0.076663953	62.25103012	54.02490667
200	9	p	2	bilabial	voiceless	i	0.075790213	66.88890668	76.7821138
201	6	k	6	velar	voiceless	a	0.052308517	62.09429331	68.09122649
202	1	t	1	alveolar	voiceless	i	0.091546543	60.80406158	67.8323652
203	3	k	3	velar	voiceless	a	0.030680926	63.72493458	59.6196352
204	2	p	3	bilabial	voiceless	&	0.090919464	67.01764759	76.49468009
205	4	p	5	bilabial	voiceless	u	0.03252818	69.37133307	55.93325427
206	9	d	1	alveolar	voiced	u	0.033276499	69.79255729	69.75385029
207	6	g	6	velar	voiced	a	0.039389249	69.11631296	75.01436626
208	10	b	6	bilabial	voiced	a	0.032290429	70.39137491	71.11907003
209	5	g	6	velar	voiced	u	0.05567072	71.41721731	72.92481711
210	1	d	1	alveolar	voiced	u	0.05892646	71.9502494	75.50565947
211	10	g	5	velar	voiced	u	0.04457839	66.15063162	70.78369556
