time	distance	voltage
918	1	0.623720324
922	1	0.655285089
926	1	0.652610823
930	1	0.673044742
934	1	0.690111476
938	1	0.711653341
942	1	0.751162782
946	1	0.785551221
950	1	0.782539561
954	1	0.833806709
958	1	0.884267079
962	1	0.872641696
966	1	0.872136135
970	1	0.878222079
974	1	0.866817467
978	1	0.830319985
982	1	0.791574042
986	1	0.734423188
990	1	0.757138591
994	1	0.741338489
998	1	0.722940326
-190	2	0.333532921
-186	2	0.322367255
-182	2	0.314747263
-178	2	0.374442354
-174	2	0.388317496
-170	2	0.314741451
-166	2	0.272038935
-162	2	0.276839267
-158	2	0.256660879
-154	2	0.213652831
-150	2	0.146205786
-146	2	0.079490181
-142	2	0.041231225
-138	2	-0.035400778
-134	2	-0.111320847
-130	2	-0.138038872
-126	2	-0.154943704
-122	2	-0.165105151
-118	2	-0.181806698
-114	2	-0.172529024
-110	2	-0.160613402
-106	2	-0.15151021
-102	2	-0.097725069
-98	2	-0.031831322
-94	2	0.024525104
-90	2	0.029439697
-86	2	0.033009459
-82	2	0.09129336
-78	2	0.156223346
-74	2	0.128371849
-70	2	0.087987836
-66	2	0.017434174
-62	2	0.013021039
-58	2	0.007204325
-54	2	-0.055304502
-50	2	-0.127238981
-46	2	-0.138156741
-42	2	-0.134080631
-38	2	-0.125470952
-34	2	-0.149005335
-30	2	-0.167733766
-26	2	-0.173239044
-22	2	-0.204989914
-18	2	-0.267503451
-14	2	-0.335977813
-10	2	-0.364602155
-6	2	-0.363071498
-2	2	-0.355238774
2	2	-0.27953543
6	2	-0.141910759
10	2	-0.01940701
14	2	0.102697457
18	2	0.244887309
22	2	0.421099768
26	2	0.546862304
30	2	0.535035173
34	2	0.455161561
38	2	0.401529168
42	2	0.311439472
46	2	0.152300153
50	2	-0.087445599
54	2	-0.282185082
58	2	-0.475062768
62	2	-0.725312699
66	2	-1.018251635
70	2	-1.301004784
74	2	-1.614152166
78	2	-2.029018595
82	2	-2.487480309
86	2	-2.919256105
90	2	-3.287347233
94	2	-3.641858786
98	2	-3.995057015
102	2	-4.243833094
106	2	-4.331502023
110	2	-4.348846482
114	2	-4.26090625
118	2	-4.110686732
122	2	-3.837829423
126	2	-3.565701161
130	2	-3.293837283
134	2	-2.944963743
138	2	-2.581700547
142	2	-2.181543459
146	2	-1.798542002
150	2	-1.442811836
154	2	-0.958142347
158	2	-0.448535667
162	2	0.027054839
166	2	0.492556413
170	2	0.88101308
174	2	1.229662108
178	2	1.458403666
182	2	1.646563439
186	2	1.760191017
190	2	1.809335428
194	2	1.817761168
198	2	1.784434586
202	2	1.755965548
206	2	1.766530518
210	2	1.681720758
214	2	1.623367
218	2	1.609481393
222	2	1.577421495
226	2	1.529894625
230	2	1.47788786
234	2	1.499028862
238	2	1.522854691
242	2	1.550905967
246	2	1.571009684
250	2	1.638378978
254	2	1.770619972
258	2	1.911179347
262	2	1.996409013
266	2	2.133888962
270	2	2.27728461
274	2	2.419765834
278	2	2.563488918
282	2	2.684094148
286	2	2.839962719
290	2	3.04608499
294	2	3.253842798
298	2	3.497879566
302	2	3.733773179
306	2	3.971463658
310	2	4.229964255
314	2	4.498516658
318	2	4.777524311
322	2	5.059945533
326	2	5.235083383
330	2	5.403951344
334	2	5.575604635
338	2	5.721122814
342	2	5.817371967
346	2	5.844891686
350	2	5.832859339
354	2	5.82437512
358	2	5.77766898
362	2	5.729378544
366	2	5.686570313
370	2	5.702930927
374	2	5.721385304
378	2	5.749691707
382	2	5.837288273
386	2	5.947862107
390	2	6.03063438
394	2	6.139561284
398	2	6.186794268
402	2	6.273537569
406	2	6.357357908
410	2	6.392111462
414	2	6.435191643
418	2	6.481047791
422	2	6.503274594
426	2	6.537520158
430	2	6.541736314
434	2	6.590400694
438	2	6.641605574
442	2	6.655806676
446	2	6.641602186
450	2	6.650536862
454	2	6.654391758
458	2	6.640532745
462	2	6.575443077
466	2	6.553060931
470	2	6.558432717
474	2	6.565902487
478	2	6.546208074
482	2	6.572856008
486	2	6.590876722
490	2	6.584051314
494	2	6.532568495
498	2	6.542714786
502	2	6.602637439
506	2	6.639752515
510	2	6.644151444
514	2	6.664660742
518	2	6.721060462
522	2	6.814452477
526	2	6.851753918
530	2	6.871344888
534	2	6.951849531
538	2	6.98959552
542	2	7.003917209
546	2	7.030618694
550	2	7.042709281
554	2	7.048447467
558	2	7.012807462
562	2	6.920211875
566	2	6.894276217
570	2	6.906211505
574	2	6.870096551
578	2	6.821128411
582	2	6.777557314
586	2	6.765741605
590	2	6.782496885
594	2	6.758951196
598	2	6.730180763
602	2	6.71717612
606	2	6.690482653
610	2	6.597441913
614	2	6.523755023
618	2	6.475204615
622	2	6.379831809
626	2	6.241520788
630	2	6.097068416
634	2	5.979222778
638	2	5.906524258
642	2	5.81077551
646	2	5.683315714
650	2	5.618273793
654	2	5.560062263
658	2	5.483851694
662	2	5.386156492
666	2	5.293513253
670	2	5.210715523
674	2	5.100133406
678	2	4.938071653
682	2	4.795468643
686	2	4.692695579
690	2	4.599619097
694	2	4.497424529
698	2	4.348215529
702	2	4.225480109
706	2	4.137627632
710	2	4.072243984
714	2	3.983371867
718	2	3.896209482
722	2	3.78823729
726	2	3.677129797
730	2	3.557704645
734	2	3.457735643
738	2	3.325322582
742	2	3.191055143
746	2	3.070476559
750	2	3.022060505
754	2	3.026690128
758	2	2.986651615
762	2	2.885313788
766	2	2.841351411
770	2	2.81587839
774	2	2.776599801
778	2	2.705024349
782	2	2.637119339
786	2	2.641954163
790	2	2.672894082
794	2	2.630094699
798	2	2.578489582
802	2	2.52618886
806	2	2.436792176
810	2	2.361890893
814	2	2.275709949
818	2	2.186137352
822	2	2.115487429
826	2	2.033890758
830	2	1.944774798
834	2	1.955804339
838	2	1.917048526
842	2	1.833916077
846	2	1.781322186
850	2	1.751752922
854	2	1.738902665
858	2	1.725417384
862	2	1.693520841
866	2	1.709620532
870	2	1.740429665
874	2	1.74280205
878	2	1.745663296
882	2	1.751203158
886	2	1.799986184
890	2	1.812657191
894	2	1.741652092
898	2	1.655721263
902	2	1.631437763
906	2	1.606032949
910	2	1.590108332
914	2	1.548464097
918	2	1.49596351
922	2	1.479601467
926	2	1.467771556
930	2	1.431856143
934	2	1.384473864
938	2	1.307830089
942	2	1.251846581
946	2	1.222512244
950	2	1.21119978
954	2	1.24172801
958	2	1.283308831
962	2	1.319788533
966	2	1.395736849
970	2	1.443740005
974	2	1.436665653
978	2	1.417559033
982	2	1.424868097
986	2	1.447160204
990	2	1.469065179
994	2	1.469424605
998	2	1.495768911
-190	3	0.353403239
-186	3	0.363204028
-182	3	0.337639112
-178	3	0.341053755
-174	3	0.343298155
-170	3	0.313788382
-166	3	0.29217017
-162	3	0.244262255
-158	3	0.196761354
-154	3	0.143778826
-150	3	0.070599393
-146	3	0.05253136
-142	3	0.042506419
-138	3	0.038238136
-134	3	0.023528894
-130	3	0.028236671
-126	3	0.051609985
-122	3	0.056763583
-118	3	-0.013097828
-114	3	-0.050810152
-110	3	-0.064826392
-106	3	-0.100529623
-102	3	-0.167133211
-98	3	-0.183014265
-94	3	-0.166967761
-90	3	-0.130546941
-86	3	-0.128525015
-82	3	-0.129784686
-78	3	-0.090276674
-74	3	-0.023632917
-70	3	-0.051781432
-66	3	-0.104259341
-62	3	-0.129011886
-58	3	-0.102050611
-54	3	-0.082166166
-50	3	-0.058359235
-46	3	-0.06017172
-42	3	-0.020374384
-38	3	0.021121959
-34	3	-0.006109809
-30	3	-0.082975207
-26	3	-0.119260426
-22	3	-0.177948278
-18	3	-0.272424388
-14	3	-0.348096936
-10	3	-0.389961322
-6	3	-0.393453689
-2	3	-0.383900811
2	3	-0.354049257
6	3	-0.260551839
10	3	-0.170968666
14	3	-0.149631709
18	3	-0.12327675
22	3	-0.047780548
26	3	0.022709477
30	3	0.008855849
34	3	-0.0846365
38	3	-0.180338041
42	3	-0.243756296
46	3	-0.358130689
50	3	-0.555047125
54	3	-0.716775425
58	3	-0.895414861
62	3	-1.078750716
66	3	-1.287108307
70	3	-1.541630017
74	3	-1.829891519
78	3	-2.185091904
82	3	-2.614244693
86	3	-3.025882163
90	3	-3.397526844
94	3	-3.754472569
98	3	-4.127554758
102	3	-4.387808099
106	3	-4.536578036
110	3	-4.629212474
114	3	-4.66961138
118	3	-4.653996533
122	3	-4.479633727
126	3	-4.207718513
130	3	-3.970952926
134	3	-3.646900451
138	3	-3.241993334
142	3	-2.771811658
146	3	-2.310200002
150	3	-1.873731589
154	3	-1.410903946
158	3	-0.905237645
162	3	-0.399560008
166	3	0.056781395
170	3	0.442311005
174	3	0.807794199
178	3	1.078088064
182	3	1.318676957
186	3	1.486174577
190	3	1.571684661
194	3	1.626955988
198	3	1.631647251
202	3	1.6282611
206	3	1.658356449
210	3	1.664968934
214	3	1.702404783
218	3	1.737002684
222	3	1.74256248
226	3	1.803445446
230	3	1.838678094
234	3	1.871332151
238	3	1.94419848
242	3	1.971421783
246	3	2.007052796
250	3	2.090103821
