subject	vot	targetVoicing	continuum	taskRelevance	n1Amplitude	n1Latency	countTargetResponse
13	25	voiced	bilabial	TRUE	-1.2705	114	4
13	25	voiced	alveolar	FALSE	-1.0457	114	0
13	25	voiced	alveolar	TRUE	3.076	110	2
13	25	voiceless	bilabial	FALSE	4.8974	122	1
13	25	voiceless	bilabial	TRUE	-2.1749	106	26
13	25	voiceless	alveolar	FALSE	0.070109	102	0
13	25	voiceless	alveolar	TRUE	0.33251	86	26
13	30	voiced	bilabial	FALSE	1.7956	114	0
13	30	voiced	bilabial	TRUE	1.2798	110	0
13	30	voiced	alveolar	FALSE	2.3382	114	0
13	30	voiced	alveolar	TRUE	-2.045	90	0
13	30	voiceless	bilabial	FALSE	1.616	118	0
13	30	voiceless	bilabial	TRUE	0.69102	118	38
13	30	voiceless	alveolar	FALSE	1.857	122	0
13	30	voiceless	alveolar	TRUE	3.4146	122	35
13	35	voiced	bilabial	FALSE	-4.679	86	1
13	35	voiced	bilabial	TRUE	-1.0945	98	3
13	35	voiced	alveolar	FALSE	0.94101	78	0
13	35	voiced	alveolar	TRUE	-0.50902	114	1
13	35	voiceless	bilabial	FALSE	-1.0118	102	0
13	35	voiceless	bilabial	TRUE	-1.5405	106	38
13	35	voiceless	alveolar	FALSE	0.28859	114	0
13	35	voiceless	alveolar	TRUE	3.1085	82	34
13	40	voiced	bilabial	FALSE	1.0222	114	0
13	40	voiced	bilabial	TRUE	0.19409	114	0
13	40	voiced	alveolar	FALSE	0.93041	74	0
13	40	voiced	alveolar	TRUE	3.0465	110	0
13	40	voiceless	bilabial	FALSE	4.5638	118	0
13	40	voiceless	bilabial	TRUE	-1.2483	98	25
13	40	voiceless	alveolar	FALSE	-2.725	98	0
13	40	voiceless	alveolar	TRUE	5.9999	122	31
16	0	voiced	bilabial	FALSE	-8.6559	86	0
16	0	voiced	bilabial	TRUE	-6.7593	90	32
16	0	voiced	alveolar	FALSE	-5.0848	114	0
16	0	voiced	alveolar	TRUE	-6.5223	114	37
16	0	voiceless	bilabial	FALSE	-10.591	82	0
16	0	voiceless	bilabial	TRUE	-7.4403	78	0
16	0	voiceless	alveolar	FALSE	-2.9018	86	0
16	0	voiceless	alveolar	TRUE	-6.7203	114	0
16	5	voiced	bilabial	FALSE	-7.7407	86	0
16	5	voiced	bilabial	TRUE	-7.8444	78	29
16	5	voiced	alveolar	FALSE	-7.0555	82	0
16	5	voiced	alveolar	TRUE	-9.3743	82	41
16	5	voiceless	bilabial	FALSE	-9.3353	78	0
16	5	voiceless	bilabial	TRUE	-9.2986	74	0
16	5	voiceless	alveolar	FALSE	-9.8183	74	0
16	5	voiceless	alveolar	TRUE	-2.6322	82	0
16	10	voiced	bilabial	FALSE	-9.0706	78	0
16	10	voiced	bilabial	TRUE	-10.386	74	26
16	10	voiced	alveolar	FALSE	-7.0576	102	0
16	10	voiced	alveolar	TRUE	-10.303	70	33
16	10	voiceless	bilabial	FALSE	-5.7258	86	0
16	10	voiceless	bilabial	TRUE	-8.8246	82	6
16	10	voiceless	alveolar	FALSE	-5.1347	82	0
16	10	voiceless	alveolar	TRUE	-5.4073	110	0
16	15	voiced	bilabial	FALSE	-7.6161	82	0
16	15	voiced	bilabial	TRUE	-4.9888	106	20
16	15	voiced	alveolar	FALSE	-8.5829	82	0
16	15	voiced	alveolar	TRUE	-10.128	70	30
16	15	voiceless	bilabial	FALSE	-7.7074	98	0
16	15	voiceless	bilabial	TRUE	-6.0059	82	10
16	15	voiceless	alveolar	FALSE	-6.951	82	0
16	15	voiceless	alveolar	TRUE	-6.057	102	1
16	20	voiced	bilabial	FALSE	-9.1876	86	0
16	20	voiced	bilabial	TRUE	-7.3615	106	6
16	20	voiced	alveolar	FALSE	-4.0902	106	0
16	20	voiced	alveolar	TRUE	-7.707	102	20
16	20	voiceless	bilabial	FALSE	-8.3712	82	0
16	20	voiceless	bilabial	TRUE	-4.3948	106	25
16	20	voiceless	alveolar	FALSE	-2.3413	110	0
16	20	voiceless	alveolar	TRUE	-6.7408	106	20
16	25	voiced	bilabial	FALSE	-8.1261	82	0
16	25	voiced	bilabial	TRUE	-10.01	82	2
16	25	voiced	alveolar	FALSE	-6.2502	110	0
16	25	voiced	alveolar	TRUE	-8.5459	78	5
16	25	voiceless	bilabial	FALSE	-7.0185	106	0
16	25	voiceless	bilabial	TRUE	-6.5739	82	36
16	25	voiceless	alveolar	FALSE	-7.4545	82	1
16	25	voiceless	alveolar	TRUE	-3.3337	106	27
16	30	voiced	bilabial	FALSE	-9.8261	102	0
16	30	voiced	bilabial	TRUE	-7.4993	102	1
16	30	voiced	alveolar	FALSE	-4.767	110	0
16	30	voiced	alveolar	TRUE	-9.3077	102	4
16	30	voiceless	bilabial	FALSE	-5.3313	82	0
16	30	voiceless	bilabial	TRUE	-5.2327	106	36
16	30	voiceless	alveolar	FALSE	-4.5449	110	0
16	30	voiceless	alveolar	TRUE	-7.6558	106	33
16	35	voiced	bilabial	FALSE	-11.437	82	0
16	35	voiced	bilabial	TRUE	-4.7637	86	0
16	35	voiced	alveolar	FALSE	-5.2276	106	0
16	35	voiced	alveolar	TRUE	-12.389	78	1
16	35	voiceless	bilabial	FALSE	-8.7877	78	0
16	35	voiceless	bilabial	TRUE	-6.9742	82	24
16	35	voiceless	alveolar	FALSE	-3.6048	102	0
16	35	voiceless	alveolar	TRUE	-5.8618	106	32
16	40	voiced	bilabial	FALSE	-9.0797	82	0
16	40	voiced	bilabial	TRUE	-4.792	86	1
16	40	voiced	alveolar	FALSE	-5.9009	110	0
16	40	voiced	alveolar	TRUE	-6.1055	94	0
16	40	voiceless	bilabial	FALSE	-8.6932	82	0
16	40	voiceless	bilabial	TRUE	-4.0211	82	34
16	40	voiceless	alveolar	FALSE	-5.9109	86	0
16	40	voiceless	alveolar	TRUE	-6.691	106	35
17	0	voiced	bilabial	FALSE	-8.2681	70	0
17	0	voiced	bilabial	TRUE	-11.844	78	28
17	0	voiced	alveolar	FALSE	-2.6322	86	0
17	0	voiced	alveolar	TRUE	-6.3742	86	27
17	0	voiceless	bilabial	FALSE	-2.9866	110	0
17	0	voiceless	bilabial	TRUE	-7.0912	58	3
17	0	voiceless	alveolar	FALSE	-10.302	74	0
17	0	voiceless	alveolar	TRUE	-5.2898	22	0
17	5	voiced	bilabial	FALSE	-2.2976	74	0
17	5	voiced	bilabial	TRUE	-1.9654	110	33
17	5	voiced	alveolar	FALSE	2.9928	78	0
17	5	voiced	alveolar	TRUE	-0.18947	78	17
17	5	voiceless	bilabial	FALSE	-5.4426	70	0
17	5	voiceless	bilabial	TRUE	-10.306	70	2
17	5	voiceless	alveolar	FALSE	-2.7333	102	0
17	5	voiceless	alveolar	TRUE	-4.4995	102	2
17	10	voiced	bilabial	FALSE	-6.298	66	0
17	10	voiced	bilabial	TRUE	-5.5068	66	34
17	10	voiced	alveolar	FALSE	-2.4851	106	0
17	10	voiced	alveolar	TRUE	-2.5196	106	30
17	10	voiceless	bilabial	FALSE	0.048063	74	0
17	10	voiceless	bilabial	TRUE	-7.8016	86	7
17	10	voiceless	alveolar	FALSE	-6.1641	86	0
17	10	voiceless	alveolar	TRUE	-2.762	46	2
17	15	voiced	bilabial	FALSE	-7.6161	58	1
17	15	voiced	bilabial	TRUE	-5.879	66	35
17	15	voiced	alveolar	FALSE	3.6351	122	0
17	15	voiced	alveolar	TRUE	-3.939	70	29
17	15	voiceless	bilabial	FALSE	-7.0283	66	1
17	15	voiceless	bilabial	TRUE	-4.1855	74	17
17	15	voiceless	alveolar	FALSE	-8.9509	78	0
17	15	voiceless	alveolar	TRUE	-2.238	94	1
17	20	voiced	bilabial	FALSE	0.34356	78	0
17	20	voiced	bilabial	TRUE	-6.5372	74	17
17	20	voiced	alveolar	FALSE	-4.1858	58	0
